,Ano,Delegacia,Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
281,2011,OUTRAS ESPECIALIZADAS,Nº DE PESSOAS PRESAS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,0,0,0
282,2011,OUTRAS ESPECIALIZADAS,Nº DE PESSOAS PRESAS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
283,2011,OUTRAS ESPECIALIZADAS,Nº DE PRISÕES EFETUADAS,0,0,0,0,0,0,0,0,0,0,0,0,0
284,2011,OUTRAS ESPECIALIZADAS,Nº DE VEÍCULOS RECUPERADOS,0,0,0,0,0,0,0,0,0,0,0,0,0
285,2011,OUTRAS ESPECIALIZADAS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,1,0,1,0,0,2,0,4,0,2,0,0,10
286,2012,01 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,1,0,0,1,1,0,0,0,1,0,1,0,5
287,2012,01 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,1,0,0,0,0,0,0,1,0,0,1,0,3
288,2012,01 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
289,2012,01 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,0,1,1,0,0,1,2,0,0,0,0,5
290,2012,01 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,0,0,1,1,3,0,0,4,0,1,1,2,13
291,2012,01 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,4,11,10,6,8,3,4,17,4,27,13,11,118
292,2012,01 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,21,1,1,1,0,0,1,0,0,4,0,29
293,2012,01 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,1,0,0,0,0,0,0,0,0,0,0,1
294,2012,01 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,4,11,12,8,12,5,6,22,5,10,15,16,126
295,2012,01 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,11,2,1,9,6,7,9,6,2,6,5,6,70
296,2012,01 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,15,13,12,15,14,10,13,23,6,12,18,17,168
297,2012,01 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,8,8,7,6,6,6,8,10,4,2,4,3,72
298,2012,01 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,19,18,27,22,27,17,17,30,22,20,24,22,265
299,2012,02 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,2,0,0,2,2,1,1,1,0,1,0,1,11
300,2012,02 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,2,1,2,2,0,2,1,5,3,2,4,1,25
301,2012,02 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,3,0,0,0,1,0,0,4
302,2012,02 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1,0,1,0,0,0,0,2,1,0,1,1,7
303,2012,02 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,1,0,1,0,0,0,0,1,1,0,1,1,6
304,2012,02 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,8,13,11,12,7,6,15,9,6,7,10,6,110
305,2012,02 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,1,0,3,2,0,0,0,0,0,0,0,0,6
306,2012,02 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,1,0,0,0,0,0,0,0,0,0,1
307,2012,02 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,10,13,13,14,9,7,15,13,7,7,14,7,129
308,2012,02 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,1,1,5,3,2,2,3,3,2,4,3,1,30
309,2012,02 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,9,14,16,15,9,8,18,16,8,11,13,7,144
310,2012,02 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,12,11,20,15,12,17,13,9,5,14,9,13,150
311,2012,02 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,29,29,22,32,36,27,42,27,24,25,29,24,346
312,2012,03 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,1,0,0,1,0,1,2,2,3,2,2,14
313,2012,03 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,4,4,0,2,0,3,2,0,3,3,1,3,25
314,2012,03 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
315,2012,03 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1,0,1,4,3,2,1,1,4,0,0,0,17
316,2012,03 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,1,0,7,4,4,2,0,1,4,4,0,1,28
317,2012,03 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,10,9,7,14,10,10,8,11,11,0,4,8,102
318,2012,03 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,0,0,0
319,2012,03 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
320,2012,03 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,11,10,8,19,10,10,10,12,11,0,6,9,116
321,2012,03 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,1,0,2,5,8,1,6,7,4,0,6,5,45
322,2012,03 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,11,9,9,19,18,11,14,18,15,0,10,13,147
323,2012,03 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,30,23,30,36,31,26,26,22,22,0,24,28,298
324,2012,03 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,24,16,83,31,30,32,27,32,31,18,13,20,357
